1	3.309849e+00	0
1.001	3.309507e+00	0
1.002	3.309166e+00	0
1.003	3.308827e+00	0
1.004	3.308489e+00	0
1.005	3.308152e+00	0
1.006	3.307817e+00	0
1.007	3.307483e+00	0
1.008	3.307150e+00	0
1.009	3.306818e+00	0
1.01	3.306488e+00	0
1.011	3.306158e+00	0
1.012	3.305830e+00	0
1.013	3.305503e+00	0
1.014	3.305178e+00	0
1.015	3.304853e+00	0
1.016	3.304530e+00	0
1.017	3.304208e+00	0
1.018	3.303887e+00	0
1.019	3.303567e+00	0
1.02	3.303248e+00	0
1.021	3.302931e+00	0
1.022	3.302614e+00	0
1.023	3.302299e+00	0
1.024	3.301985e+00	0
1.025	3.301672e+00	0
1.026	3.301360e+00	0
1.027	3.301050e+00	0
1.028	3.300740e+00	0
1.029	3.300431e+00	0
1.03	3.300124e+00	0
1.031	3.299818e+00	0
1.032	3.299513e+00	0
1.033	3.299208e+00	0
1.034	3.298905e+00	0
1.035	3.298603e+00	0
1.036	3.298303e+00	0
1.037	3.298003e+00	0
1.038	3.297704e+00	0
1.039	3.297406e+00	0
1.04	3.297109e+00	0
1.041	3.296814e+00	0
1.042	3.296519e+00	0
1.043	3.296226e+00	0
1.044	3.295933e+00	0
1.045	3.295642e+00	0
1.046	3.295351e+00	0
1.047	3.295062e+00	0
1.048	3.294773e+00	0
1.049	3.294486e+00	0
1.05	3.294199e+00	0
1.051	3.293914e+00	0
1.052	3.293629e+00	0
1.053	3.293346e+00	0
1.054	3.293063e+00	0
1.055	3.292781e+00	0
1.056	3.292501e+00	0
1.057	3.292221e+00	0
1.058	3.291942e+00	0
1.059	3.291665e+00	0
1.06	3.291388e+00	0
1.061	3.291112e+00	0
1.062	3.290837e+00	0
1.063	3.290563e+00	0
1.064	3.290290e+00	0
1.065	3.290018e+00	0
1.066	3.289747e+00	0
1.067	3.289476e+00	0
1.068	3.289207e+00	0
1.069	3.288938e+00	0
1.07	3.288671e+00	0
1.071	3.288404e+00	0
1.072	3.288138e+00	0
1.073	3.287874e+00	0
1.074	3.287610e+00	0
1.075	3.287346e+00	0
1.076	3.287084e+00	0
1.077	3.286823e+00	0
1.078	3.286562e+00	0
1.079	3.286303e+00	0
1.08	3.286044e+00	0
1.081	3.285786e+00	0
1.082	3.285529e+00	0
1.083	3.285273e+00	0
1.084	3.285017e+00	0
1.085	3.284763e+00	0
1.086	3.284509e+00	0
1.087	3.284256e+00	0
1.088	3.284004e+00	0
1.089	3.283753e+00	0
1.09	3.283503e+00	0
1.091	3.283253e+00	0
1.092	3.283004e+00	0
1.093	3.282756e+00	0
1.094	3.282509e+00	0
1.095	3.282263e+00	0
1.096	3.282018e+00	0
1.097	3.281773e+00	0
1.098	3.281529e+00	0
1.099	3.281286e+00	0
1.1	3.281043e+00	0
1.101	3.280802e+00	0
1.102	3.280561e+00	0
1.103	3.280321e+00	0
1.104	3.280082e+00	0
1.105	3.279843e+00	0
1.106	3.279606e+00	0
1.107	3.279369e+00	0
1.108	3.279132e+00	0
1.109	3.278897e+00	0
1.11	3.278662e+00	0
1.111	3.278428e+00	0
1.112	3.278195e+00	0
1.113	3.277963e+00	0
1.114	3.277731e+00	0
1.115	3.277500e+00	0
1.116	3.277270e+00	0
1.117	3.277040e+00	0
1.118	3.276811e+00	0
1.119	3.276583e+00	0
1.12	3.276356e+00	0
1.121	3.276129e+00	0
1.122	3.275903e+00	0
1.123	3.275678e+00	0
1.124	3.275454e+00	0
1.125	3.275230e+00	0
1.126	3.275007e+00	0
1.127	3.274784e+00	0
1.128	3.274563e+00	0
1.129	3.274342e+00	0
1.13	3.274121e+00	0
1.131	3.273902e+00	0
1.132	3.273683e+00	0
1.133	3.273464e+00	0
1.134	3.273247e+00	0
1.135	3.273030e+00	0
1.136	3.272813e+00	0
1.137	3.272598e+00	0
1.138	3.272383e+00	0
1.139	3.272168e+00	0
1.14	3.271955e+00	0
1.141	3.271742e+00	0
1.142	3.271530e+00	0
1.143	3.271318e+00	0
1.144	3.271107e+00	0
1.145	3.270896e+00	0
1.146	3.270687e+00	0
1.147	3.270478e+00	0
1.148	3.270269e+00	0
1.149	3.270061e+00	0
1.15	3.269854e+00	0
1.151	3.269647e+00	0
1.152	3.269441e+00	0
1.153	3.269236e+00	0
1.154	3.269031e+00	0
1.155	3.268827e+00	0
1.156	3.268624e+00	0
1.157	3.268421e+00	0
1.158	3.268219e+00	0
1.159	3.268017e+00	0
1.16	3.267816e+00	0
1.161	3.267616e+00	0
1.162	3.267416e+00	0
1.163	3.267216e+00	0
1.164	3.267018e+00	0
1.165	3.266820e+00	0
1.166	3.266622e+00	0
1.167	3.266425e+00	0
1.168	3.266229e+00	0
1.169	3.266033e+00	0
1.17	3.265838e+00	0
1.171	3.265644e+00	0
1.172	3.265450e+00	0
1.173	3.265256e+00	0
1.174	3.265063e+00	0
1.175	3.264871e+00	0
1.176	3.264679e+00	0
1.177	3.264488e+00	0
1.178	3.264298e+00	0
1.179	3.264108e+00	0
1.18	3.263918e+00	0
1.181	3.263729e+00	0
1.182	3.263541e+00	0
1.183	3.263353e+00	0
1.184	3.263166e+00	0
1.185	3.262979e+00	0
1.186	3.262793e+00	0
1.187	3.262607e+00	0
1.188	3.262422e+00	0
1.189	3.262238e+00	0
1.19	3.262054e+00	0
1.191	3.261870e+00	0
1.192	3.261687e+00	0
1.193	3.261505e+00	0
1.194	3.261323e+00	0
1.195	3.261141e+00	0
1.196	3.260960e+00	0
1.197	3.260780e+00	0
1.198	3.260600e+00	0
1.199	3.260421e+00	0
